Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
RandomSurvivalForest $_{LogRank}$,0.25,0.5,0.6262 ± 0.0759,0.3142 ± 0.0696,0.7482 ± 0.1158,0.1960 ± 0.1148,0.6308,0.2943,0.7748,0.0035
RandomSurvivalForest $_{LogRank}$,0.25,0.25,0.5564 ± 0.0556,0.2638 ± 0.0118,0.7460 ± 0.1560,0.0403 ± 0.0634,0.5927,0.1398,0.7282,0.0000
RandomSurvivalForest ,1.0,1.0,0.7206 ± 0.0649,0.1582 ± 0.0128,0.7570 ± 0.0858,0.5138 ± 0.2584,0.6489,0.1305,0.7361,0.5623
RandomSurvivalForest ,1.0,0.75,0.6614 ± 0.0718,0.2592 ± 0.0397,0.7387 ± 0.0824,0.5330 ± 0.2708,0.6357,0.2019,0.7427,0.9448
RandomSurvivalForest ,1.0,0.5,0.4701 ± 0.1653,0.3030 ± 0.0644,0.7174 ± 0.1015,0.4005 ± 0.3099,0.6324,0.4467,0.7390,0.8788
RandomSurvivalForest ,1.0,0.25,0.4580 ± 0.1247,0.2790 ± 0.1059,0.7366 ± 0.1483,0.0692 ± 0.1096,0.6408,0.1610,0.6963,0.0000
RandomSurvivalForest ,0.75,1.0,0.7186 ± 0.0663,0.1582 ± 0.0128,0.7570 ± 0.0858,0.5138 ± 0.2584,0.6516,0.1305,0.7361,0.5623
RandomSurvivalForest ,0.75,0.75,0.6234 ± 0.0916,0.2429 ± 0.0413,0.7271 ± 0.0845,0.4408 ± 0.2367,0.6553,0.1893,0.7455,0.9577
RandomSurvivalForest ,0.75,0.5,0.5452 ± 0.1375,0.3230 ± 0.0791,0.7339 ± 0.1207,0.3778 ± 0.2680,0.7961,0.2810,0.7524,0.0011
RandomSurvivalForest ,0.75,0.25,0.4913 ± 0.1026,0.2685 ± 0.0221,0.6924 ± 0.1581,0.0205 ± 0.0343,0.7827,0.1610,0.7208,0.0000
RandomSurvivalForest ,0.5,1.0,0.7149 ± 0.0591,0.1582 ± 0.0129,0.7595 ± 0.0843,0.5143 ± 0.2574,0.6488,0.1315,0.7321,0.5377
RandomSurvivalForest ,0.5,0.75,0.6602 ± 0.0546,0.2328 ± 0.0315,0.7364 ± 0.0847,0.4762 ± 0.2344,0.6629,0.1907,0.7416,0.9525
RandomSurvivalForest ,0.5,0.5,0.5562 ± 0.0998,0.3230 ± 0.0839,0.7476 ± 0.1098,0.3245 ± 0.2322,0.6780,0.2860,0.7525,0.0011
RandomSurvivalForest ,0.5,0.25,0.5529 ± 0.1525,0.2745 ± 0.0122,0.6967 ± 0.1537,0.0244 ± 0.0403,0.6101,0.1610,0.7208,0.0000
RandomSurvivalForest ,0.25,1.0,0.7228 ± 0.0566,0.1663 ± 0.0123,0.7755 ± 0.0867,0.5124 ± 0.1562,0.6651,0.1645,0.7516,0.2285
RandomSurvivalForest ,0.25,0.75,0.6693 ± 0.0601,0.2324 ± 0.0224,0.7339 ± 0.1079,0.5092 ± 0.1567,0.6599,0.2299,0.7532,0.0199
RandomSurvivalForest ,0.25,0.5,0.6290 ± 0.0725,0.3143 ± 0.0720,0.7236 ± 0.1299,0.1973 ± 0.0997,0.6350,0.2917,0.7645,0.0031
RandomSurvivalForest ,0.25,0.25,0.5607 ± 0.0600,0.2746 ± 0.0179,0.7142 ± 0.1400,0.0573 ± 0.0839,0.5936,0.1481,0.7278,0.0000
GradientBoosting $_{LogRank}$,1.0,1.0,0.7392 ± 0.0644,0.1882 ± 0.0206,0.8137 ± 0.0865,0.2963 ± 0.1135,0.6546,0.1389,0.7539,0.3684
GradientBoosting $_{LogRank}$,1.0,0.75,0.6108 ± 0.0761,0.2935 ± 0.0602,0.7368 ± 0.0686,0.3041 ± 0.1564,0.6413,0.2128,0.7350,0.3384
GradientBoosting $_{LogRank}$,1.0,0.5,0.5212 ± 0.1617,0.4900 ± 0.1432,0.7543 ± 0.0651,0.1469 ± 0.0896,0.5946,0.4993,0.7171,0.6302
GradientBoosting $_{LogRank}$,1.0,0.25,0.4885 ± 0.1774,0.8611 ± 0.1716,0.7035 ± 0.1200,0.0260 ± 0.0445,0.6300,1.5672,0.6788,0.0000
GradientBoosting $_{LogRank}$,0.75,1.0,0.7392 ± 0.0644,0.1882 ± 0.0206,0.8137 ± 0.0865,0.2963 ± 0.1135,0.6546,0.1389,0.7539,0.3684
GradientBoosting $_{LogRank}$,0.75,0.75,0.6317 ± 0.1117,0.2775 ± 0.0493,0.7685 ± 0.0800,0.2658 ± 0.1709,0.6449,0.2054,0.7075,0.0472
GradientBoosting $_{LogRank}$,0.75,0.5,0.5228 ± 0.1617,0.4850 ± 0.1376,0.7395 ± 0.0802,0.2838 ± 0.1608,0.7543,0.4660,0.7273,0.0000
GradientBoosting $_{LogRank}$,0.75,0.25,0.4796 ± 0.1660,0.9382 ± 0.1658,0.7045 ± 0.1214,0.0339 ± 0.0525,0.7822,1.1052,0.6960,0.0000
GradientBoosting $_{LogRank}$,0.5,1.0,0.7330 ± 0.0574,0.1883 ± 0.0206,0.8107 ± 0.0750,0.2986 ± 0.1115,0.6486,0.1389,0.7417,0.3487
GradientBoosting $_{LogRank}$,0.5,0.75,0.6396 ± 0.0750,0.2737 ± 0.0391,0.7735 ± 0.0771,0.3443 ± 0.2693,0.6479,0.2064,0.7173,0.1895
GradientBoosting $_{LogRank}$,0.5,0.5,0.5322 ± 0.1052,0.4435 ± 0.0732,0.7460 ± 0.0771,0.2247 ± 0.1826,0.6073,0.4110,0.7387,0.0000
GradientBoosting $_{LogRank}$,0.5,0.25,0.5016 ± 0.1605,0.8710 ± 0.1158,0.7152 ± 0.1131,0.0354 ± 0.0520,0.6082,0.9788,0.6990,0.0000
GradientBoosting $_{LogRank}$,0.25,1.0,0.7278 ± 0.0731,0.1954 ± 0.0201,0.8037 ± 0.0806,0.4795 ± 0.2359,0.6632,0.1520,0.7495,0.0371
GradientBoosting $_{LogRank}$,0.25,0.75,0.6747 ± 0.0622,0.2659 ± 0.0250,0.7701 ± 0.0689,0.3493 ± 0.1314,0.6278,0.2361,0.6962,0.0006
GradientBoosting $_{LogRank}$,0.25,0.5,0.6190 ± 0.0568,0.4092 ± 0.0337,0.7283 ± 0.0704,0.2616 ± 0.1436,0.6094,0.4296,0.7329,0.0000
GradientBoosting $_{LogRank}$,0.25,0.25,0.5496 ± 0.0771,0.7712 ± 0.0866,0.6664 ± 0.1225,0.0232 ± 0.0314,0.5709,0.9668,0.6581,0.0000
GradientBoosting ,1.0,1.0,0.7333 ± 0.0707,0.1885 ± 0.0206,0.8004 ± 0.0907,0.3006 ± 0.1098,0.6493,0.1391,0.7455,0.3377
GradientBoosting ,1.0,0.75,0.6242 ± 0.0359,0.2937 ± 0.0602,0.7077 ± 0.0826,0.3099 ± 0.1654,0.6325,0.2130,0.7183,0.3377
GradientBoosting ,1.0,0.5,0.5054 ± 0.1403,0.4902 ± 0.1433,0.7455 ± 0.0725,0.1488 ± 0.0898,0.5903,0.4996,0.7122,0.6354
GradientBoosting ,1.0,0.25,0.4863 ± 0.1748,0.8612 ± 0.1717,0.7019 ± 0.1187,0.0270 ± 0.0461,0.6288,1.5675,0.6798,0.0000
GradientBoosting ,0.75,1.0,0.7333 ± 0.0707,0.1885 ± 0.0206,0.8004 ± 0.0907,0.3006 ± 0.1098,0.6493,0.1391,0.7455,0.3377
GradientBoosting ,0.75,0.75,0.6641 ± 0.0792,0.2777 ± 0.0493,0.7844 ± 0.0765,0.2796 ± 0.1769,0.6472,0.2055,0.7130,0.0461
GradientBoosting ,0.75,0.5,0.5328 ± 0.1278,0.4851 ± 0.1373,0.7392 ± 0.0798,0.2822 ± 0.1599,0.7574,0.4661,0.7223,0.0000
GradientBoosting ,0.75,0.25,0.4814 ± 0.1640,0.9383 ± 0.1658,0.6970 ± 0.1310,0.0336 ± 0.0526,0.7818,1.1053,0.6916,0.0000
GradientBoosting ,0.5,1.0,0.7272 ± 0.0656,0.1885 ± 0.0206,0.7987 ± 0.0854,0.3006 ± 0.1098,0.6470,0.1391,0.7460,0.3377
GradientBoosting ,0.5,0.75,0.6700 ± 0.0624,0.2739 ± 0.0390,0.7978 ± 0.0669,0.3573 ± 0.2661,0.6391,0.2066,0.7063,0.1895
GradientBoosting ,0.5,0.5,0.5292 ± 0.0744,0.4437 ± 0.0731,0.7511 ± 0.0628,0.2195 ± 0.1798,0.6113,0.4112,0.7352,0.0000
GradientBoosting ,0.5,0.25,0.4946 ± 0.1554,0.8710 ± 0.1158,0.7076 ± 0.1235,0.0351 ± 0.0521,0.6075,0.9789,0.6944,0.0000
GradientBoosting ,0.25,1.0,0.7373 ± 0.0751,0.1956 ± 0.0201,0.8039 ± 0.0875,0.4853 ± 0.2348,0.6648,0.1521,0.7511,0.0373
GradientBoosting ,0.25,0.75,0.6718 ± 0.0586,0.2661 ± 0.0250,0.7671 ± 0.0720,0.3483 ± 0.1312,0.6350,0.2363,0.7095,0.0006
GradientBoosting ,0.25,0.5,0.6121 ± 0.0597,0.4094 ± 0.0337,0.7264 ± 0.0811,0.2620 ± 0.1440,0.6105,0.4298,0.7168,0.0000
GradientBoosting ,0.25,0.25,0.5565 ± 0.0822,0.7713 ± 0.0866,0.6777 ± 0.1297,0.0240 ± 0.0312,0.5774,0.9669,0.6709,0.0000
MDN $_{LogRank}$,1.0,1.0,0.6947 ± 0.0665,0.1455 ± 0.0139,0.7620 ± 0.0769,0.5419 ± 0.1489,0.6867,0.1112,0.7286,0.6120
MDN $_{LogRank}$,1.0,0.75,0.6361 ± 0.0639,0.2645 ± 0.0660,0.7194 ± 0.0470,0.5071 ± 0.1645,0.6444,0.1899,0.6583,0.2286
MDN $_{LogRank}$,1.0,0.5,0.5126 ± 0.1444,0.6704 ± 0.3636,0.6617 ± 0.0909,0.4435 ± 0.1667,0.5706,0.5295,0.5698,0.1636
MDN $_{LogRank}$,1.0,0.25,0.5229 ± 0.1758,1.2374 ± 0.8036,0.6582 ± 0.1264,0.4859 ± 0.1786,0.6508,1.5998,0.6444,0.1760
MDN $_{LogRank}$,0.75,1.0,0.7074 ± 0.0482,0.1441 ± 0.0143,0.7767 ± 0.0581,0.4976 ± 0.1344,0.6824,0.1133,0.7156,0.7557
MDN $_{LogRank}$,0.75,0.75,0.6374 ± 0.0862,0.2568 ± 0.0666,0.7104 ± 0.0821,0.4895 ± 0.1227,0.6693,0.1782,0.6909,0.2875
MDN $_{LogRank}$,0.75,0.5,0.5441 ± 0.1233,0.5581 ± 0.2081,0.6720 ± 0.0683,0.5227 ± 0.1719,0.7758,0.5232,0.6538,0.2161
MDN $_{LogRank}$,0.75,0.25,0.4890 ± 0.1117,1.0772 ± 0.5514,0.6902 ± 0.0622,0.4813 ± 0.1810,0.8173,0.8852,0.6750,0.2083
MDN $_{LogRank}$,0.5,1.0,0.7160 ± 0.0542,0.1438 ± 0.0154,0.7640 ± 0.0857,0.5278 ± 0.1569,0.6691,0.1176,0.6976,0.6424
MDN $_{LogRank}$,0.5,0.75,0.6309 ± 0.0685,0.2410 ± 0.0514,0.7032 ± 0.0837,0.4837 ± 0.0708,0.6741,0.1658,0.7063,0.2573
MDN $_{LogRank}$,0.5,0.5,0.6222 ± 0.0504,0.4491 ± 0.1332,0.6761 ± 0.0966,0.5644 ± 0.1700,0.6851,0.3546,0.7357,0.2654
MDN $_{LogRank}$,0.5,0.25,0.5298 ± 0.1174,0.8237 ± 0.2923,0.6678 ± 0.0473,0.5229 ± 0.1434,0.6714,0.5747,0.6908,0.3762
MDN $_{LogRank}$,0.25,1.0,0.7314 ± 0.0538,0.1547 ± 0.0219,0.7794 ± 0.0935,0.7133 ± 0.2057,0.6683,0.1225,0.7311,0.9623
MDN $_{LogRank}$,0.25,0.75,0.7004 ± 0.0535,0.2156 ± 0.0396,0.7443 ± 0.0726,0.7048 ± 0.1231,0.6624,0.1727,0.7122,0.8059
MDN $_{LogRank}$,0.25,0.5,0.6726 ± 0.0609,0.3280 ± 0.0817,0.7294 ± 0.0786,0.6960 ± 0.1154,0.6393,0.2352,0.7157,0.6449
MDN $_{LogRank}$,0.25,0.25,0.6923 ± 0.0746,0.4582 ± 0.1303,0.7637 ± 0.0956,0.7941 ± 0.0633,0.6479,0.3343,0.7152,0.5427
MDN ,1.0,1.0,0.6788 ± 0.0458,0.1441 ± 0.0100,0.7555 ± 0.0706,0.5126 ± 0.1656,0.6895,0.1198,0.6982,0.8906
MDN ,1.0,0.75,0.6036 ± 0.0532,0.2608 ± 0.0585,0.6557 ± 0.0751,0.4238 ± 0.1181,0.6435,0.1880,0.6711,0.4183
MDN ,1.0,0.5,0.5309 ± 0.1508,0.6321 ± 0.3182,0.6835 ± 0.0927,0.4284 ± 0.0705,0.6247,0.4830,0.6928,0.3908
MDN ,1.0,0.25,0.5533 ± 0.1419,1.0634 ± 0.6656,0.7449 ± 0.0760,0.5448 ± 0.1908,0.7059,1.4621,0.6920,0.4016
MDN ,0.75,1.0,0.6784 ± 0.0612,0.1495 ± 0.0133,0.7339 ± 0.0816,0.4931 ± 0.1065,0.6661,0.1217,0.6855,0.8040
MDN ,0.75,0.75,0.6416 ± 0.0711,0.2503 ± 0.0572,0.7141 ± 0.0662,0.4799 ± 0.0584,0.6746,0.1757,0.6903,0.4898
MDN ,0.75,0.5,0.5476 ± 0.1131,0.5359 ± 0.1874,0.6473 ± 0.0643,0.5549 ± 0.1910,0.7937,0.4666,0.7429,0.5250
MDN ,0.75,0.25,0.4844 ± 0.1192,1.0425 ± 0.5622,0.6238 ± 0.0896,0.4415 ± 0.1145,0.8167,0.7790,0.7114,0.5641
MDN ,0.5,1.0,0.7212 ± 0.0601,0.1364 ± 0.0163,0.8204 ± 0.0901,0.5251 ± 0.1628,0.6758,0.1185,0.7194,0.8318
MDN ,0.5,0.75,0.6667 ± 0.0595,0.2363 ± 0.0491,0.7179 ± 0.0660,0.4719 ± 0.0933,0.6754,0.1711,0.7173,0.3005
MDN ,0.5,0.5,0.5984 ± 0.1084,0.4442 ± 0.1231,0.6635 ± 0.0689,0.5470 ± 0.1788,0.6621,0.3583,0.7070,0.6618
MDN ,0.5,0.25,0.4989 ± 0.1151,0.7993 ± 0.3137,0.6377 ± 0.1100,0.5072 ± 0.1559,0.6472,0.5566,0.7042,0.6835
MDN ,0.25,1.0,0.7044 ± 0.0467,0.1479 ± 0.0177,0.7980 ± 0.0785,0.6060 ± 0.2134,0.6890,0.1201,0.7550,0.7868
MDN ,0.25,0.75,0.7017 ± 0.0559,0.2120 ± 0.0267,0.7542 ± 0.0813,0.6085 ± 0.1807,0.6512,0.1781,0.7220,0.9385
MDN ,0.25,0.5,0.6391 ± 0.0387,0.3230 ± 0.0592,0.6704 ± 0.0358,0.6981 ± 0.1284,0.6359,0.2536,0.7182,0.9548
MDN ,0.25,0.25,0.6833 ± 0.0403,0.4520 ± 0.1235,0.7183 ± 0.0585,0.6984 ± 0.1099,0.6475,0.3491,0.7442,0.7027
